lookback,n_long,n_short,rebalance,total_return,cagr,sharpe,sortino,max_drawdown,calmar
30,2,5,12,0.6256563206554033,0.3250441371996553,1.2491679534001603,1.7814600565274321,-0.21509461282476783,1.5111681921316207
30,3,2,3,-0.11821721805121321,-0.07027865965916469,-0.05566967571754279,-0.06846795346540438,-0.42168248451418555,-0.1666625061274047
30,3,2,6,0.3331659856988374,0.18122987561645076,0.6820345991953527,0.8574214369699187,-0.33399080118415236,0.5426193624911427
30,3,2,12,1.1356994747400142,0.5519350948535076,1.5861843848510702,2.146441196304636,-0.3245274002263633,1.7007349594164425
30,3,3,3,0.023405528896397687,0.013490730650982163,0.18596528011860636,0.2397223466836538,-0.3129640413899015,0.04310632809784987
30,3,3,6,0.23888513631992292,0.1320997177004375,0.5964814222075254,0.7987339134308638,-0.24721689054525076,0.5343474606815259
30,3,3,12,0.648870105279834,0.33597078723981566,1.2217830530212161,1.7090968968879958,-0.28297162863357106,1.1872949555479106
30,3,5,3,0.12653606286663477,0.07144868076365984,0.4169808908250591,0.5850303604860576,-0.2443287689264395,0.29242844007932206
30,3,5,6,0.19340450206229232,0.10783818254251432,0.5681458716259354,0.8242296102444059,-0.24318099621523404,0.44344823082749923
30,3,5,12,0.4765457410217129,0.25322720190176695,1.0971761684930201,1.6178048819564537,-0.2978401251385645,0.8502118436324111
30,5,2,3,-0.15970444030873132,-0.09587150113613507,-0.16124827317709123,-0.1951367776667318,-0.4015344453222237,-0.23876283156529704
30,5,2,6,0.2805327815537364,0.15398978997398838,0.6205901559934714,0.7579218286914051,-0.2864552925432051,0.537570064099139
30,5,2,12,0.9988967791909344,0.49355543045470696,1.529216916970828,2.026172058500899,-0.29142211680265373,1.6936100659406526
30,5,3,3,-0.024864360598709556,-0.014477973015309065,0.07149438749642205,0.0903157795393731,-0.26385362871975837,-0.05487122949779958
30,5,3,6,0.19107682898669842,0.10658611884278768,0.5280592403466314,0.6833409713286513,-0.2053444632883804,0.5190601058140093
30,5,3,12,0.5433317451731401,0.28575390917964105,1.1444031091333955,1.5520994537768695,-0.24766364824105946,1.1537983519547732
30,5,5,3,0.07392093685619971,0.04217230653837967,0.3038337208455251,0.4180364679564966,-0.16863177159030074,0.25008517754791415
30,5,5,6,0.14767747635635953,0.08304966121202417,0.4931784532741449,0.6915276797145874,-0.1807110354062652,0.459571608481553
30,5,5,12,0.38111354060353175,0.20565352506620016,1.0024852003221165,1.414360873698261,-0.26801594592539657,0.7673182442788115
42,2,2,3,-0.1873844992461834,-0.11324349400991163,-0.18273601680337023,-0.22798170006571006,-0.46630493939104356,-0.24285287253829746
42,2,2,6,0.3711355265965821,0.20060067301151085,0.7069003635278458,0.9025099873548671,-0.3031742809032002,0.6616678446928028
42,2,2,12,1.7575095716758469,0.7995034455007086,1.9523200120797928,2.8759547552272977,-0.2377972582132487,3.3621222191878277
42,2,3,3,-0.14572098741755113,-0.08718712468714729,-0.16306993867894654,-0.21206723996763455,-0.4456627427321599,-0.19563476218057144
42,2,3,6,0.6203591410645342,0.3225415925300965,1.1004167824151048,1.5215606230417513,-0.2517146170118313,1.2813780795055543
42,2,3,12,1.742414837802451,0.7937912936560318,2.1454722277064984,3.276086511552515,-0.19517497359064395,4.067075194388978
42,2,5,3,-0.14099968891171644,-0.08426850870546332,-0.23089276227139383,-0.31914275061356673,-0.3697161857899628,-0.227927561584595
42,2,5,6,0.3984162352081664,0.21437931667264087,0.905424075902131,1.3499283131218067,-0.25943126419266027,0.8263434144677232
42,2,5,12,1.3864866482964646,0.6550171327222118,2.109542235273666,3.4703907101372566,-0.17137586845791553,3.8221083202450017
42,3,2,3,-0.19805534814625703,-0.12000683678581736,-0.2252834531394932,-0.2778504743471376,-0.5046270679311634,-0.23781292049555217
42,3,2,6,0.21747326460575378,0.1207251453722189,0.514614282674957,0.648855365449581,-0.3450960199992992,0.3498305931562586
42,3,2,12,1.157300079236689,0.561007366133266,1.5997112348584615,2.2592768297282384,-0.2602052526774786,2.1560186059296353
42,3,3,3,-0.15718211225808465,-0.09430054838047996,-0.2128950689541804,-0.273775275885793,-0.46685076850801144,-0.20199291666981953
42,3,3,6,0.4382367101397415,0.23429002776747043,0.9074798980933075,1.241457501047488,-0.2950909792863323,0.7939586236559757
42,3,3,12,1.1446797659257624,0.5557114919410635,1.7726926140270083,2.578413881240508,-0.20859879427992378,2.664020632810278
42,3,5,3,-0.15217399001312437,-0.09118724850122095,-0.2992140310223055,-0.4095598009221292,-0.3951190573848228,-0.23078423274433438
42,3,5,6,0.24078769498094088,0.13310639179057082,0.6669956118825305,0.9926196465323036,-0.30790217516452156,0.4323009141440719
42,3,5,12,0.8662507449928927,0.43532097429839967,1.698511448912496,2.686112036786528,-0.1900063086963315,2.291086950139801
42,5,2,3,-0.1491543700697624,-0.08931384041515422,-0.13817881442000834,-0.16762960381903466,-0.43194587830345876,-0.2067709055725907
42,5,2,6,0.10158625838786284,0.05763939411162933,0.33656265115275896,0.4143943662736844,-0.3141168705450803,0.18349665209515464
42,5,2,12,0.5697236565842894,0.2984436883701733,1.0382257947687497,1.3854082837812942,-0.27351470907454767,1.0911431029796324
42,5,3,3,-0.10568579262087496,-0.06264843546131593,-0.1107371893326055,-0.14019005001184903,-0.4195672911732319,-0.14931677654407408
